,name,year,genre,rate,voter,director,star,country,company,budget,gross
12,Alien: Covenant,(2017)," Horror, Sci-Fi, Thriller            ",6.4,"212,663",Ridley Scott,"Michael Fassbender,Katherine Waterston,Billy Crudup,|,See full cast & crew,","USA,UK","Twentieth Century Fox,TSG Entertainment,Scott Free Productions,See more »,","$97,000,000","$74,262,031"
13,Blockers,(2018), Comedy            ,6.2,"43,720",Kay Cannon,"Leslie Mann,John Cena,Ike Barinholtz,|,See full cast & crew,",USA,"Point Grey Pictures,DMG Entertainment,Good Universe,See more »,","$21,000,000","$59,839,515"
14,Cloud Atlas,(2012)," Action, Drama, Mystery            ",7.5,"319,761",,"Tom Hanks,Halle Berry,Hugh Grant,|,See full cast & crew,","Germany,USA,Hong Kong,Singapore","Cloud Atlas Productions,X-Filme Creative Pool,Anarchos Pictures,See more »,","$102,000,000","$27,108,272,"
15,The Happy Prince,(2018)," Biography, Drama            ",6.4,"1,842",Rupert Everett,"Rupert Everett,Colin Firth,Emily Watson,|,See full cast & crew,","UK,Belgium,Italy,Germany","Maze Pictures,Entre Chien et Loup,Palomar,See more »,",,"$441,140,"
16,Spotlight,(I) (2015)," Crime, Drama, History            ",8.1,"342,561",Tom McCarthy,"Mark Ruffalo,Michael Keaton,Rachel McAdams,|,See full cast & crew,",USA,"Participant Media,Anonymous Content,Rocklin/Faust,See more »,","$20,000,000","$45,055,776"
17,The Perks of Being a Wallflower,(2012)," Drama, Romance            ",8.0,"411,501",Stephen Chbosky,"Logan Lerman,Emma Watson,Ezra Miller,|,See full cast & crew,",USA,"Summit Entertainment,Mr. Mudd,See more »,","$13,000,000","$17,738,570,"
18,8 Mile,(2002)," Drama, Music            ",7.1,"220,588",Curtis Hanson,"Eminem,Brittany Murphy,Kim Basinger,|,See full cast & crew,","USA,Germany","Imagine Entertainment,Mikona Productions GmbH & Co. KG,See more »,","$41,000,000","$116,724,075,"
19,Happy Death Day,(2017)," Horror, Mystery, Thriller            ",6.5,"68,246",Christopher Landon,"Jessica Rothe,Israel Broussard,Ruby Modine,|,See full cast & crew,",USA,"Universal Pictures,Blumhouse Productions,Digital Riot Media,See more »,","$4,800,000","$55,683,845"
20,Legend,(I) (2015)," Biography, Crime, Drama            ",7.0,"131,656",Brian Helgeland,"Tom Hardy,Emily Browning,Taron Egerton,|,See full cast & crew,","UK,France,USA","Cross Creek Pictures,Working Title Films,Anton Capital Entertainment (ACE),See more »,","$30,000,000","$1,872,994,"
21,Irréversible,(2002)," Crime, Drama, Mystery            ",7.4,"102,390",Gaspar Noé,"Monica Bellucci,Vincent Cassel,Albert Dupontel,|,See full cast & crew,",France,"120 Films,Canal+,Eskwad,See more »,",,"$753,501,"
22,Just Go with It,(2011)," Comedy, Romance            ",6.4,"195,372",Dennis Dugan,"Adam Sandler,Jennifer Aniston,Brooklyn Decker,|,See full cast & crew,",USA,"Columbia Pictures Corporation,Happy Madison Productions,See more »,","$80,000,000","$103,028,109,"
23,Brokeback Mountain,(2005)," Drama, Romance            ",7.7,"291,805",Ang Lee,"Jake Gyllenhaal,Heath Ledger,Michelle Williams,|,See full cast & crew,","USA,Canada","Focus Features,River Road Entertainment,Alberta Film Entertainment,See more »,","$14,000,000","$83,043,761"
24,Dallas Buyers Club,(2013)," Biography, Drama            ",8.0,"389,295",Jean-Marc Vallée,"Matthew McConaughey,Jennifer Garner,Jared Leto,|,See full cast & crew,",USA,"Truth Entertainment (II),Voltage Pictures,r2 films,See more »,","$5,000,000","$27,298,285"
25,Kick-Ass 2,(2013)," Action, Comedy, Crime            ",6.6,"231,651",Jeff Wadlow,"Aaron Taylor-Johnson,Chloë Grace Moretz,Christopher Mintz-Plasse,|,See full cast & crew,","USA,UK","Universal Pictures,Marv Films,See more »,","$28,000,000","$28,795,985"
26,Sweet Home Alabama,(2002)," Comedy, Romance            ",6.2,"93,189",Andy Tennant,"Reese Witherspoon,Patrick Dempsey,Josh Lucas,|,See full cast & crew,",USA,"Touchstone Pictures,Original Film,D&D Films,See more »,","$38,000,000","$127,223,418"
27,The Danish Girl,(2015)," Biography, Drama, History            ",7.1,"137,941",Tom Hooper,"Eddie Redmayne,Alicia Vikander,Amber Heard,|,See full cast & crew,","UK,USA,Germany,Denmark,Belgium,Japan","Working Title Films,Pretty Pictures,ReVision Pictures,See more »,","$15,000,000","$12,706,393,"
28,Dirty Grandpa,(2016), Comedy            ,5.9,"95,819",Dan Mazer,"Robert De Niro,Zac Efron,Zoey Deutch,|,See full cast & crew,",USA,"Lionsgate,BillBlock Media,QED International,See more »,","$27,500,000","$35,537,564,"
29,Wedding Crashers,(2005)," Comedy, Romance            ",7.0,"307,514",David Dobkin,"Owen Wilson,Vince Vaughn,Rachel McAdams,|,See full cast & crew,",USA,"New Line Cinema,Tapestry Films,Avery Pix,See more »,","$40,000,000","$209,218,368,"
30,Easy A,(2010)," Comedy, Drama, Romance            ",7.1,"320,142",Will Gluck,"Emma Stone,Amanda Bynes,Penn Badgley,|,See full cast & crew,",USA,"Screen Gems,Olive Bridge Entertainment,See more »,","$8,000,000","$58,401,464,"
31,Below Her Mouth,(2016)," Drama, Romance            ",5.5,"6,449",April Mullen,"Erika Linder,Natalie Krill,Sebastian Pigott,|,See full cast & crew,",Canada,"Serendipity Point Films,Distant Horizon,Telefilm Canada,See more »,",,
32,American Reunion,(2012), Comedy            ,6.7,"188,356",,"Jason Biggs,Alyson Hannigan,Seann William Scott,|,See full cast & crew,",USA,"Universal Pictures,Practical Pictures,Relativity Media,See more »,","$50,000,000","$57,011,521"
33,Sex and the City 2,(2010)," Comedy, Drama, Romance            ",4.4,"67,169",Michael Patrick King,"Sarah Jessica Parker,Kim Cattrall,Kristin Davis,|,See full cast & crew,",USA,"New Line Cinema,Home Box Office (HBO),HBO Films,See more »,","$100,000,000","$95,347,692"
34,In Bruges,(2008)," Comedy, Crime, Drama            ",7.9,"352,298",Martin McDonagh,"Colin Farrell,Brendan Gleeson,Ciarán Hinds,|,See full cast & crew,","UK,USA","Focus Features,Film4,Blueprint Pictures,See more »,","$15,000,000","$7,757,130,"
35,Talladega Nights: The Ballad of Ricky Bobby,(2006)," Comedy, Sport            ",6.6,"148,765",Adam McKay,"Will Ferrell,John C. Reilly,Sacha Baron Cohen,|,See full cast & crew,",USA,"Columbia Pictures Corporation,Relativity Media,Apatow Productions,See more »,","$72,500,000","$148,213,377"
36,Monster,(2003)," Biography, Crime, Drama            ",7.3,"121,235",Patty Jenkins,"Charlize Theron,Christina Ricci,Bruce Dern,|,See full cast & crew,","Germany,USA","Media 8 Entertainment,Newmarket Films,DEJ Productions,See more »,","$4,500,000","$34,469,210"
37,Rock of Ages,(2012)," Comedy, Drama, Musical            ",5.9,"68,522",Adam Shankman,"Julianne Hough,Diego Boneta,Tom Cruise,|,See full cast & crew,",USA,"New Line Cinema,Corner Store Entertainment,Material Pictures,See more »,","$75,000,000","$38,518,613"
38,Layer Cake,(2004)," Crime, Drama, Thriller            ",7.4,"148,638",Matthew Vaughn,"Daniel Craig,Sienna Miller,Michael Gambon,|,See full cast & crew,",UK,"Sony Pictures Classics,Marv Films,See more »,","£4,000,000","$2,338,695,"
39,Y tu mamá también,(2001)," Adventure, Comedy, Drama            ",7.7,"103,127",Alfonso Cuarón,"Maribel Verdú,Gael García Bernal,Daniel Giménez Cacho,|,See full cast & crew,",Mexico,"Anhelo Producciones,Besame Mucho Pictures,Producciones Anhelo,See more »,","$2,000,000","$13,622,333,"
40,Won't You Be My Neighbor?,(2018)," Documentary, Biography            ",8.5,"10,142",Morgan Neville,"Fred Rogers,Joanne Rogers,John Rogers,|,See full cast & crew,",USA,"Tremolo Productions,See more »,",,"$22,609,437,"
41,The Gift,(VI) (2015)," Drama, Mystery, Thriller            ",7.1,"117,992",Joel Edgerton,"Jason Bateman,Rebecca Hall,Joel Edgerton,|,See full cast & crew,","USA,Australia,China","Blumhouse Productions,Ahimsa Films,Blue-Tongue Films,See more »,","$5,000,000","$43,771,291,"
42,Love the Coopers,(2015)," Comedy, Fantasy, Romance            ",5.7,"16,445",Jessie Nelson,"Steve Martin,Diane Keaton,John Goodman,|,See full cast & crew,",USA,"CBS Films,Groundswell Productions,Imagine Entertainment,See more »,","$17,000,000","$26,284,475,"
43,Stronger,(I) (2017)," Biography, Drama            ",7.0,"29,251",David Gordon Green,"Jake Gyllenhaal,Tatiana Maslany,Miranda Richardson,|,See full cast & crew,",USA,"Bold Films,Lionsgate,Mandeville Films,See more »,",,"$4,211,129,"
44,Little Miss Sunshine,(2006)," Comedy, Drama            ",7.8,"399,533",,"Steve Carell,Toni Collette,Greg Kinnear,|,See full cast & crew,",USA,"Fox Searchlight Pictures,Big Beach Films,Bona Fide Productions,See more »,","$8,000,000","$59,891,098"
45,Zack and Miri Make a Porno,(2008)," Comedy, Romance            ",6.6,"162,386",Kevin Smith,"Seth Rogen,Elizabeth Banks,Craig Robinson,|,See full cast & crew,",USA,"Blue Askew,The Weinstein Company,View Askew Productions,See more »,","$24,000,000","$31,457,946,"
46,EuroTrip,(2004), Comedy            ,6.6,"179,138",,"Scott Mechlowicz,Jacob Pitts,Michelle Trachtenberg,|,See full cast & crew,","USA,Czech Republic","DreamWorks,The Montecito Picture Company,Blue Sea Productions,See more »,","$25,000,000","$17,718,223,"
47,Ted,(2012)," Comedy, Fantasy, Romance            ",6.9,"525,853",Seth MacFarlane,"Mark Wahlberg,Mila Kunis,Seth MacFarlane,|,See full cast & crew,",USA,"Universal Pictures,Media Rights Capital (MRC),Fuzzy Door Productions,See more »,","$50,000,000","$218,815,487"
48,Neighbors 2: Sorority Rising,(2016), Comedy            ,5.7,"97,071",Nicholas Stoller,"Seth Rogen,Rose Byrne,Zac Efron,|,See full cast & crew,","USA,China","Universal Pictures,Perfect World Pictures (Beijing),Point Grey Pictures,See more »,","$35,000,000","$55,291,815,"
49,Blow,(2001)," Biography, Crime, Drama            ",7.6,"219,344",Ted Demme,"Johnny Depp,Penélope Cruz,Franka Potente,|,See full cast & crew,",USA,"Apostle,Avery Pix,New Line Cinema,See more »,","$53,000,000","$52,990,775"
50,The Boondock Saints,(1999)," Action, Crime, Thriller            ",7.8,"213,787",Troy Duffy,"Willem Dafoe,Sean Patrick Flanery,Norman Reedus,|,See full cast & crew,","USA,Canada","Franchise Pictures,Brood Syndicate,Fried Films,See more »,","$7,000,000","$25,812,"
51,Elizabeth,(1998)," Biography, Drama, History            ",7.5,"83,703",Shekhar Kapur,"Cate Blanchett,Geoffrey Rush,Christopher Eccleston,|,See full cast & crew,",UK,"PolyGram Filmed Entertainment,Working Title Films,Channel Four Films,See more »,","$30,000,000","$30,082,699"
52,Big Daddy,(1999)," Comedy, Drama            ",6.4,"180,504",Dennis Dugan,"Adam Sandler,Joey Lauren Adams,Jon Stewart,|,See full cast & crew,",USA,"Jack Giarraputo Productions,Out of the Blue... Entertainment,See more »,","$34,200,000","$163,479,795"
53,RocknRolla,(2008)," Action, Crime, Thriller            ",7.3,"215,392",Guy Ritchie,"Gerard Butler,Tom Wilkinson,Idris Elba,|,See full cast & crew,","UK,USA,France","Warner Bros.,Dark Castle Entertainment,Toff Guy Films,See more »,","$18,000,000","$5,694,401,"
54,Role Models,(2008), Comedy            ,6.9,"208,425",David Wain,"Paul Rudd,Seann William Scott,Elizabeth Banks,|,See full cast & crew,","Germany,USA","Universal Pictures,Relativity Media,Stuber/Parent,See more »,","$28,000,000","$67,294,270"
55,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,(2006), Comedy            ,7.3,"326,064",Larry Charles,"Sacha Baron Cohen,Ken Davitian,Luenell,|,See full cast & crew,","USA,UK","Everyman Pictures,Dune Entertainment,Major Studio Partners,See more »,","$18,000,000","$128,505,958,"
56,"Game Over, Man!",(2018)," Action, Comedy            ",5.4,"18,967",Kyle Newacheck,"Adam Devine,Anders Holm,Blake Anderson,|,See full cast & crew,",USA,"Point Grey Pictures,Scott Rudin Productions,See more »,",,
57,Waiting...,(I) (2005), Comedy            ,6.8,"82,123",Rob McKittrick,"Ryan Reynolds,Anna Faris,John Francis Daley,|,See full cast & crew,",USA,"Eden Rock Media,Element Films,L.I.F.T. Production,See more »,","$3,000,000","$16,124,543"
58,Grave,(II) (2016)," Drama, Horror            ",7.0,"45,309",Julia Ducournau,"Garance Marillier,Ella Rumpf,Rabah Nait Oufella,|,See full cast & crew,","France,Belgium,Italy","Petit Film,Rouge International,Frakas Productions,See more »,","€3,500,000","$508,425,"
59,Cult of Chucky,(2017)," Horror, Thriller            ",5.2,"15,561",Don Mancini,"Allison Dawn Doiron,Alex Vincent,Brad Dourif,|,See full cast & crew,",USA,"Universal 1440 Entertainment,See more »,",,
60,Enter the Void,(2009)," Drama, Fantasy            ",7.3,"57,515",Gaspar Noé,"Nathaniel Brown,Paz de la Huerta,Cyril Roy,|,See full cast & crew,","France,Germany,Italy,Canada","Fidélité Films,Wild Bunch,BUF,See more »,","€13,000,000","$336,467,"
61,Burnt,(I) (2015)," Comedy, Drama            ",6.6,"91,353",John Wells,"Bradley Cooper,Sienna Miller,Daniel Brühl,|,See full cast & crew,",USA,"3 Arts Entertainment,Double Feature Films,PeaPie Films,See more »,","$20,000,000","$13,650,738,"
62,The Catcher Was a Spy,(2018)," Biography, Drama, War            ",6.1,"2,826",Ben Lewin,"Paul Rudd,Connie Nielsen,Sienna Miller,|,See full cast & crew,",USA,"PalmStar Media,Animus Films,Serena Films,See more »,",,"$712,438,"
63,Magnolia,(1999), Drama            ,8.0,"264,834",Paul Thomas Anderson,"Tom Cruise,Jason Robards,Julianne Moore,|,See full cast & crew,",USA,"Ghoulardi Film Company,New Line Cinema,The Magnolia Project,See more »,","$37,000,000","$22,455,976"
64,Alexander,(2004)," Action, Adventure, Biography            ",5.6,"151,739",Oliver Stone,"Colin Farrell,Anthony Hopkins,Rosario Dawson,|,See full cast & crew,","Germany,USA,Netherlands,France,UK,Italy","Warner Bros.,Intermedia Films,Pacifica Film,See more »,",,
65,Mike and Dave Need Wedding Dates,(2016)," Adventure, Comedy, Romance            ",6.0,"71,185",Jake Szymanski,"Zac Efron,Adam Devine,Anna Kendrick,|,See full cast & crew,",USA,"Twentieth Century Fox,Chernin Entertainment,TSG Entertainment,See more »,","$33,000,000","$46,007,113,"
66,"I Love You, Man",(2009)," Comedy, Romance            ",7.0,"182,248",John Hamburg,"Paul Rudd,Jason Segel,Rashida Jones,|,See full cast & crew,",USA,"DreamWorks,De Line Pictures,Bernard Gayle Productions,See more »,","$40,000,000","$71,440,011"
67,Click,(2006)," Comedy, Drama, Fantasy            ",6.4,"276,498",Frank Coraci,"Adam Sandler,Kate Beckinsale,Christopher Walken,|,See full cast & crew,",USA,"Columbia Pictures Corporation,Revolution Studios,Happy Madison Productions,See more »,","$70,000,000","$137,355,633"
68,Lizzie,(2018)," Biography, Crime, Drama            ",5.8,812,Craig William Macneill,"Kristen Stewart,Chloë Sevigny,Kim Dickens,|,See full cast & crew,",USA,"Powder Hound Pictures,Artina Films,Destro Films,See more »,",,"$642,157,"
69,Sex Drive,(2008)," Adventure, Comedy, Romance            ",6.5,"78,637",Sean Anders,"Josh Zuckerman,Clark Duke,Amanda Crew,|,See full cast & crew,",USA,"Summit Entertainment,Alloy Entertainment,Goldcrest Pictures,See more »,","$19,000,000","$8,402,485,"
70,Rent,(2005)," Drama, Musical, Romance            ",7.0,"45,452",Chris Columbus,"Taye Diggs,Wilson Jermaine Heredia,Rosario Dawson,|,See full cast & crew,",USA,"Rent Productions LLC,1492 Pictures,Revolution Studios,See more »,","$40,000,000","$29,077,547,"
71,Scary Movie 4,(2006), Comedy            ,5.1,"104,302",David Zucker,"Anna Faris,Regina Hall,Craig Bierko,|,See full cast & crew,",USA,"Dimension Films,415 Project,Brad Grey Pictures,See more »,","$45,000,000","$90,710,620,"
72,ParaNorman,(2012)," Animation, Adventure, Comedy            ",7.0,"84,576",,"Kodi Smit-McPhee,Anna Kendrick,Christopher Mintz-Plasse,|,See full cast & crew,",USA,"Focus Features,Laika Entertainment,See more »,","$60,000,000","$56,003,051"
73,Under the Tuscan Sun,(2003)," Comedy, Drama, Romance            ",6.8,"42,035",Audrey Wells,"Diane Lane,Raoul Bova,Sandra Oh,|,See full cast & crew,","USA,Italy","Touchstone Pictures,Timnick Films,Blue Gardenia Productions,See more »,","$18,000,000","$43,610,723,"
74,Death at a Funeral,(2007), Comedy            ,7.4,"99,425",Frank Oz,"Matthew Macfadyen,Peter Dinklage,Ewen Bremner,|,See full cast & crew,","USA,Germany,UK,Netherlands","Sidney Kimmel Entertainment,Parabolic Pictures Inc.,Stable Way Entertainment,See more »,","$9,000,000","$8,579,684,"
75,Billy Elliot,(2000)," Drama, Music, Romance            ",7.7,"111,027",Stephen Daldry,"Jamie Bell,Julie Walters,Jean Heywood,|,See full cast & crew,","UK,France","StudioCanal,Working Title Films,BBC Films,See more »,","$5,000,000","$21,995,263"
76,Election,(1999)," Comedy, Drama, Romance            ",7.3,"81,554",Alexander Payne,"Matthew Broderick,Reese Witherspoon,Chris Klein,|,See full cast & crew,",USA,"Bona Fide Productions,MTV Films,Paramount Pictures,See more »,","$25,000,000","$14,879,556,"
77,A Single Man,(2009)," Drama, Romance            ",7.6,"97,369",Tom Ford,"Colin Firth,Julianne Moore,Matthew Goode,|,See full cast & crew,",USA,"Fade to Black Productions,Depth of Field,Artina Films,See more »,","$7,000,000","$9,166,863,"
78,Gosford Park,(2001)," Comedy, Drama, Mystery            ",7.3,"71,714",Robert Altman,"Maggie Smith,Ryan Phillippe,Michael Gambon,|,See full cast & crew,","UK,USA,Italy","USA Films,Capitol Films,Film Council,See more »,","$19,800,000","$41,308,615,"
79,Little Children,(2006)," Drama, Romance            ",7.5,"99,202",Todd Field,"Kate Winslet,Jennifer Connelly,Patrick Wilson,|,See full cast & crew,",USA,"New Line Cinema,Bona Fide Productions,Standard Film Company,See more »,","$26,000,000","$5,463,019"
80,Youth,(I) (2015)," Comedy, Drama, Music            ",7.3,"61,807",Paolo Sorrentino,"Michael Caine,Harvey Keitel,Rachel Weisz,|,See full cast & crew,","Italy,France,UK,Switzerland","Indigo Film,Barbary Films,Pathé,See more »,","€12,300,000","$2,698,509,"
81,Bride of Chucky,(1998)," Comedy, Horror            ",5.4,"46,181",Ronny Yu,"Jennifer Tilly,Brad Dourif,Katherine Heigl,|,See full cast & crew,","USA,Canada","Midwinter Productions Inc.,Universal Pictures,See more »,","$25,000,000","$32,383,850"
82,Testament of Youth,(2014)," Biography, Drama, History            ",7.3,"22,294",James Kent,"Alicia Vikander,Kit Harington,Taron Egerton,|,See full cast & crew,","UK,Denmark","BBC Films,BFI Film Fund,Heyday Films,See more »,",,"$1,822,030,"
83,"Dude, Where's My Car?",(2000)," Comedy, Mystery, Sci-Fi            ",5.5,"126,561",Danny Leiner,"Ashton Kutcher,Seann William Scott,Jennifer Garner,|,See full cast & crew,",USA,"Twentieth Century Fox,Alcon Entertainment,See more »,","$13,000,000","$46,729,800"
84,Bad Santa,(2003)," Comedy, Crime, Drama            ",7.1,"123,747",Terry Zwigoff,"Billy Bob Thornton,Bernie Mac,Lauren Graham,|,See full cast & crew,","USA,Germany","Columbia Pictures Corporation,Dimension Films,Triptych Pictures,See more »,","$23,000,000","$60,060,328"
85,God's Own Country,(2017)," Drama, Romance            ",7.7,"15,027",Francis Lee,"Josh O'Connor,Alec Secareanu,Gemma Jones,|,See full cast & crew,",UK,"British Film Institute (BFI),Creative England,Met Film Production,See more »,",,"$335,609,"
86,Milk,(I) (2008)," Biography, Drama            ",7.6,"152,496",Gus Van Sant,"Sean Penn,Josh Brolin,Emile Hirsch,|,See full cast & crew,",USA,"Focus Features,Axon Films,Groundswell Productions,See more »,","$20,000,000","$31,841,299"
87,Child 44,(2015)," Crime, Drama, History            ",6.5,"56,578",Daniel Espinosa,"Tom Hardy,Gary Oldman,Noomi Rapace,|,See full cast & crew,","Czech Republic,UK,USA,Russia","Worldview Entertainment,Scott Free Productions,Etalon Film,See more »,","$50,000,000","$1,206,135,"
88,Young Adult,(2011)," Comedy, Drama            ",6.3,"72,052",Jason Reitman,"Charlize Theron,Patrick Wilson,Patton Oswalt,|,See full cast & crew,",USA,"Paramount Pictures,Denver and Delilah Productions,Indian Paintbrush,See more »,","$12,000,000","$16,311,571,"
89,The Mechanic,(2011)," Action, Crime, Thriller            ",6.6,"137,971",Simon West,"Jason Statham,Ben Foster,Donald Sutherland,|,See full cast & crew,",USA,"CBS Films,Millennium Films,Chartoff-Winkler Productions,See more »,","$40,000,000","$29,121,498"
90,Pride,(I) (2014)," Biography, Comedy, Drama            ",7.8,"45,140",Matthew Warchus,"Bill Nighy,Imelda Staunton,Dominic West,|,See full cast & crew,","UK,France","Pathé,BBC Films,Proud Films,See more »,",,
91,Florence Foster Jenkins,(2016)," Biography, Comedy, Drama            ",6.8,"42,652",Stephen Frears,"Meryl Streep,Hugh Grant,Simon Helberg,|,See full cast & crew,","UK,France","Qwerty Films,Pathé Pictures International,BBC Films,See more »,","$29,000,000","$27,370,107,"
92,Beach Rats,(2017), Drama            ,6.4,"8,039",Eliza Hittman,"Harris Dickinson,Madeline Weinstein,Kate Hodge,|,See full cast & crew,",USA,"Cinereach,Animal Kingdom,Secret Engine,See more »,",,"$472,368,"
93,The Constant Gardener,(2005)," Drama, Mystery, Romance            ",7.4,"122,847",Fernando Meirelles,"Ralph Fiennes,Rachel Weisz,Danny Huston,|,See full cast & crew,","UK,Germany,USA,China","Focus Features,UK Film Council,Potboiler Productions,See more »,",,
94,Bend It Like Beckham,(2002)," Comedy, Drama, Romance            ",6.7,"97,667",Gurinder Chadha,"Parminder Nagra,Keira Knightley,Jonathan Rhys Meyers,|,See full cast & crew,","UK,Germany,USA","Kintop Pictures,Film Council,Filmförderung Hamburg,See more »,","£3,500,159","$32,543,449,"
95,Along Came Polly,(2004)," Comedy, Romance            ",5.9,"116,269",John Hamburg,"Ben Stiller,Jennifer Aniston,Debra Messing,|,See full cast & crew,",USA,"Universal Pictures,Jersey Films,Loofah Productions,See more »,","$42,000,000","$88,097,164"
96,Snakes on a Plane,(2006)," Action, Adventure, Crime            ",5.5,"124,064",David R. Ellis,"Samuel L. Jackson,Julianna Margulies,Nathan Phillips,|,See full cast & crew,","Germany,USA,Canada","New Line Cinema,Mutual Film Company,Meradin Zweite Productions,See more »,","$33,000,000","$34,020,814"
97,Nick and Norah's Infinite Playlist,(2008)," Comedy, Drama, Music            ",6.7,"82,753",Peter Sollett,"Michael Cera,Kat Dennings,Aaron Yoo,|,See full cast & crew,",USA,"Screen Gems,Columbia Pictures Corporation,Mandate Pictures,See more »,","$9,000,000","$31,487,293,"
98,The Paperboy,(2012)," Crime, Drama, Mystery            ",5.8,"33,168",Lee Daniels,"Matthew McConaughey,Nicole Kidman,John Cusack,|,See full cast & crew,",USA,"Millennium Films,Millennium Films,Lee Daniels Entertainment,See more »,","$12,500,000","$692,640,"
99,Brad's Status,(2017)," Comedy, Drama, Music            ",6.5,"11,614",Mike White,"Ben Stiller,Austin Abrams,Jenna Fischer,|,See full cast & crew,",USA,"Amazon Studios,Montreal Casting,Plan B Entertainment,See more »,",,"$2,133,158,"
100,Fruitvale Station,(2013)," Biography, Drama, Romance            ",7.5,"66,151",Ryan Coogler,"Michael B. Jordan,Melonie Diaz,Octavia Spencer,|,See full cast & crew,",USA,"Forest Whitaker's Significant Productions,OG Project,See more »,","$900,000","$16,097,842,"
101,Bedazzled,(2000)," Comedy, Fantasy            ",6.0,"89,412",Harold Ramis,"Brendan Fraser,Elizabeth Hurley,Frances O'Connor,|,See full cast & crew,","USA,Germany","Twentieth Century Fox,Regency Enterprises,KirchMedia,See more »,","$48,000,000","$37,886,980,"
102,Capote,(2005)," Biography, Crime, Drama            ",7.4,"114,279",Bennett Miller,"Philip Seymour Hoffman,Clifton Collins Jr.,Catherine Keener,|,See full cast & crew,","USA,Canada","United Artists,Sony Pictures Classics,A-Line Pictures,See more »,","$7,000,000","$28,747,570,"
103,40 Days and 40 Nights,(2002)," Comedy, Romance            ",5.6,"66,327",Michael Lehmann,"Josh Hartnett,Shannyn Sossamon,Paulo Costanzo,|,See full cast & crew,","USA,UK,France","Miramax,Milo Productions,StudioCanal,See more »,","$17,000,000","$37,950,822"
