,name,year,genre,rate,voter,director,star,country,company,budget,gross
48,Life Is Hot in Cracktown,(2009)," Crime, Drama            ",6.1,"1,656",Buddy Giovinazzo,"Evan Ross,Stephanie Lugo,Maurice Blake,|,See full cast & crew,",USA,"Karmic Productions,Lodestar Entertainment,See more »,","$4,000,000",
49,Masti,(2004)," Comedy, Crime, Mystery            ",6.2,"5,081",Indra Kumar,"Aftab Shivdasani,Vivek Oberoi,Riteish Deshmukh,|,See full cast & crew,",India,"Maruti International,See more »,",,"$162,687,"
50,Malice in Wonderland,(2009)," Adventure, Drama, Fantasy            ",6.1,"2,845",Simon Fellows,"Maggie Grace,Danny Dyer,Matt King,|,See full cast & crew,","UK,Spain,USA,Bahrain","6 Sales,Mark Williams Films,2B Pictures,See more »,",,
51,House of Boys,(2009)," Drama, Music, Romance            ",6.6,991,Jean-Claude Schlim,"Loïc Peckels,Layke Anderson,Harry Ferrier,|,See full cast & crew,","Luxembourg,Germany","Delux Productions,Elsani Film,Moonstone Entertainment,See more »,",,
52,Karera ga honki de amu toki wa,(2017), Drama            ,6.6,890,Naoko Ogigami,"Tôma Ikuta,Kenta Kiritani,Mugi Kadowaki,|,See full cast & crew,",Japan,"Dentsu,J Storm,Paradise Cafe,See more »,",,
53,Saturday Church,(2017)," Drama, Fantasy, Musical            ",6.2,433,Damon Cardasis,"Indya Moore,Margot Bingham,Regina Taylor,|,See full cast & crew,",USA,"Spring Pictures,Round Films,See more »,",,
54,Yazi Tura,(2004), Drama            ,7.7,"4,813",Ugur Yücel,"Kenan Imirzalioglu,Olgun Simsek,Bahri Beyat,|,See full cast & crew,","Turkey,Greece","Cinegram,Eurimages,Mahayana Film,See more »,","€1,440,000",
55,Wild Side,(2004)," Drama, Romance            ",6.5,919,Sébastien Lifshitz,"Stéphanie Michelini,Yasmine Belmadi,Edouard Nikitine,|,See full cast & crew,","France,Belgium,UK","Maïa Films,YC Alligator Film,Zephyr Films,See more »,",,"$15,355,"
56,The Death and Life of Marsha P. Johnson,(2017), Documentary            ,7.1,924,David France,"Kurt Wolfe,Sue Yacka,Catherine Shugrue Dos Santos,|,See full cast & crew,",USA,"Public Square Films,Faliro House Productions,Ninety Thousand Words,See more »,",,
57,The Adventures of Sebastian Cole,(1998)," Comedy, Drama            ",6.8,"1,770",Tod Williams,"Adrian Grenier,Clark Gregg,Aleksa Palladino,|,See full cast & crew,",USA,"Culpan Productions LLC,See more »,",,"$100,041,"
58,Bruno,(2000)," Comedy, Drama            ",6.2,"1,267",Shirley MacLaine,"Alex D. Linz,Shirley MacLaine,Gary Sinise,|,See full cast & crew,",USA,"J&M Entertainment,Original Voices Inc.,See more »,","$10,000,000",
59,Magnifica presenza,(2012)," Comedy, Drama, Fantasy            ",6.7,"4,457",Ferzan Ozpetek,"Elio Germano,Margherita Buy,Vittoria Puccini,|,See full cast & crew,",Italy,"Fandango,Faros Film,Rai Cinema,See more »,",,
60,20 centímetros,(2005)," Comedy, Musical            ",6.5,"1,697",Ramón Salazar,"Mónica Cervera,Pablo Puyol,Miguel O'Dogherty,|,See full cast & crew,","Spain,France","Aligator Producciones,Divine Productions,Estudios Picasso,See more »,",,"$4,810,"
61,Sexual Chemistry,(1999)," Comedy, Sci-Fi            ",5.2,194,Mike Sedan,"Jeff Xander,Stephanee LaFleur,Chanda Marie,|,See full cast & crew,",USA,"Miklen Entertainment,See more »,",,
62,Azul y no tan rosa,(2012)," Drama, Romance            ",7.5,"1,781",Miguel Ferrari,"Guillermo Garcia,Ignacio Montes,Hilda Abrahamz,|,See full cast & crew,","Venezuela,Spain","Plenilunio Film & Arts,Centro Nacional Autónomo de Cinematografía (CNAC) (I),Factor RH Producciones,See more »,",,
63,The Grief Tourist,(2012)," Drama, Thriller            ",5.0,922,Suri Krishnamma,"Michael Cudlitz,Melanie Griffith,Pruitt Taylor Vince,|,See full cast & crew,",USA,"Lost Lane Entertainment,Suzanne DeLaurentiis Productions,See more »,","$4,000,000",
64,Spidarlings,(2016)," Comedy, Horror, Musical            ",7.6,77,Salem Kapsaski,"Sophia Disgrace,Rahel Kapsaski,Lee Mark Jones,|,See full cast & crew,",UK,"Après Vague Productions,See more »,","£160,000",
65,Mãe Só Há Uma,(2016), Drama            ,6.8,"1,050",Anna Muylaert,"Naomi Nero,Daniel Botelho,Dani Nefussi,|,See full cast & crew,",Brazil,"Dezenove Som e Imagem,Africa Filmes,See more »,",,"$11,678,"
66,Die Beautiful,(2016)," Comedy, Drama            ",7.8,357,Jun Lana,"Paolo Ballesteros,Christian Bables,Joel Torre,|,See full cast & crew,",Philippines,"IdeaFirst Company,Octobertrain Films,See more »,",,
67,TransMilitary,(2018), Documentary            ,8.2,18,,,USA,"Free Lion Productions,Archer Gray,Fearless Company,See more »,",,
68,52 Tuesdays,(2013), Drama            ,6.2,"1,217",Sophie Hyde,"Tilda Cobham-Hervey,Sam Althuizen,Imogen Archer,|,See full cast & crew,",Australia,"Closer Productions,See more »,",,
69,Strella,(2009), Drama            ,7.4,"3,001",Panos H. Koutras,"Mina Orfanou,Yannis Kokiasmenos,Minos Theoharis,|,See full cast & crew,",Greece,"100% Synthetic Films,Greek Film Center,See more »,",,
70,Qissa: The Tale of a Lonely Ghost,(2013)," Drama, Fantasy            ",6.6,699,Anup Singh,"Irrfan Khan,Tisca Chopra,Tillotama Shome,|,See full cast & crew,","Germany,India,Netherlands,France","Heimatfilm,National Film Development Corporation of India (NFDC),Augustus Film,See more »,",,
71,Desire Will Set You Free,(2015)," Comedy, Drama, Romance            ",4.9,177,Yony Leyser,"Yony Leyser,Tim-Fabian Hoffmann,Chloe Griffin,|,See full cast & crew,",Germany,"Amard Bird Films,Desire Productions,ZDF/Das kleine Fernsehspiel,See more »,",,
72,Beautiful Boxer,(2004)," Action, Biography, Drama            ",7.1,"2,979",Ekachai Uekrongtham,"Asanee Suwan,Sorapong Chatree,Orn-Anong Panyawong,|,See full cast & crew,",Thailand,"GMM Pictures Co.,See more »,",,"$199,"
73,Drunktown's Finest,(2014), Drama            ,6.9,187,Sydney Freeland,"Jeremiah Bitsui,Carmen Moore,MorningStar Angeline,|,See full cast & crew,",USA,"Indion Entertainment Group,Toy Gun Films,See more »,",,
74,Gun Hill Road,(2011), Drama            ,6.6,"1,045",Rashaad Ernesto Green,"Esai Morales,Robert Salzman,Ty Jones,|,See full cast & crew,",USA,"SimonSays Entertainment,A Small Production Company,The Princess Grace Foundation,See more »,",,"$148,994,"
75,Venus,(III) (2017)," Comedy, Drama, Family            ",5.7,119,Eisha Marjara,"Debargo Sanyal,Jamie Mayers,Pierre-Yves Cardinal,|,See full cast & crew,",Canada,"Compass Productions,See more »,",,
76,Union,(II) (2018)," Drama, History, War            ",7.2,8,Whitney Hamilton,"John Charles Dickson,Virginia Newcomb,Jay Galloway,|,See full cast & crew,",USA,"Bjornquist Films,Unionmovie,See more »,","$500,000",
77,Kiki,(2016), Documentary            ,5.4,418,Sara Jordenö,"Loretta Coombs,Takima Coombs,Afrika Juicy Couture,|,See full cast & crew,","Sweden,USA","Story AB,Hard Working Movies,Film i Väst,See more »,",,
78,Nånting måste gå sönder,(2014)," Drama, Romance            ",6.3,"1,290",Ester Martin Bergsmark,"Saga Becker,Iggy Malmborg,Shima Niavarani,|,See full cast & crew,",Sweden,"Garagefilm International,Fasad Postproduktion,Film i Väst,See more »,",,
79,One Deep Breath,(2014)," Drama, Thriller            ",5.8,36,Antony Hickling,"Manuel Blanc,Thomas Laroppe,Stéphanie Michelini,|,See full cast & crew,",France,"Optimale,Vivàsvan,See more »,","€85,750",
80,Tamara,(II) (2016)," Drama, Romance            ",7.2,113,Elia K. Schneider,"Luis Fernandez,Prakriti Maduro,Mimi Lazo,|,See full cast & crew,","Venezuela,Uruguay,Peru","Joel Films,Unity Films Inc.,See more »,",,
81,The Brandon Teena Story,(1998)," Documentary, Biography            ",7.3,892,,"Daphne,Reanna,Gina,|,See full cast & crew,",USA,"Bless Bless Productions,See more »,",,"$40,999,"
82,Southern Comfort,(2001), Documentary            ,6.6,835,Kate Davis,"Robert Eads,Lola Cola,Maxwell Scott Anderson,|,See full cast & crew,",USA,"Q-Ball Productions,See more »,",,
83,Huckleberry,(2018)," Drama, Thriller            ",0.0,0,Roger Hill,"Daniel Fisher-Golden,Jahking Guillory,Sarah Ulstrup,|,See full cast & crew,",USA,"Rustbelt Productions,See more »,",,
84,The Dog,(I) (2013)," Documentary, Adventure, Biography            ",6.5,794,,"John Wojtowicz,Carmen Bifulco,Jeremy Bowker,|,See full cast & crew,",USA,"Unleashed Films,See more »,",,"$44,532,"
85,Catfish in Black Bean Sauce,(1999)," Comedy, Drama            ",6.6,428,Chi Muoi Lo,"Chi Muoi Lo,Sanaa Lathan,Paul Winfield,|,See full cast & crew,",USA,"Allen Edelman Management,Black Hawk Entertainment,See more »,",,"$1,315,573,"
86,Identity Theft,(2009)," Action, Comedy, Fantasy            ",3.9,109,James A. Ward,"Laura Weintraub,James A. Ward,Michael Cole,|,See full cast & crew,",USA,"Three Degrees Off Center Productions,See more »,",,
87,Ga-myeon,(2007)," Crime, Drama, Mystery            ",6.4,601,Yun-ho Yang,"Kang-woo Kim,Gyu-ri Kim,Su-kyeong Lee,|,See full cast & crew,",South Korea,"DRM Entertainment,DRM Media,See more »,",,
88,She's a Boy I Knew,(2007), Documentary            ,7.8,118,Gwen Haworth,"Colleen Haworth,Gwen Haworth,Kim Haworth,|,See full cast & crew,",Canada,"Shapeshifter Films,See more »,","CAD 40,000",
89,La puerta abierta,(2016)," Comedy, Drama            ",7.0,516,Marina Seresesky,"Carmen Machi,Terele Pávez,Asier Etxeandia,|,See full cast & crew,",Spain,"Ad hoc studios,Babilonia Films S.L.,Meridional Producciones,See more »,","€766,000",
90,Lola + Bilidikid,(1999)," Drama, Romance            ",6.3,"1,175",Kutlug Ataman,"Gandi Mukli,Baki Davrak,Erdal Yildiz,|,See full cast & crew,",Germany,"Boje Buck Produktion,Westdeutscher Rundfunk (WDR),Witch,See more »,",,
91,Dirty Sanchez: The Movie,(2006)," Documentary, Action, Comedy            ",6.2,"4,066",Jim Hickey,"Matthew Pritchard,Lee Dainton,Mike Locke,|,See full cast & crew,",UK,"MTV Europe,MTV Films Europe,Vertigo Films,See more »,",,
92,Louise-Michel,(2008), Comedy            ,6.6,"2,230",,"Yolande Moreau,Bouli Lanners,Benoît Poelvoorde,|,See full cast & crew,",France,"MNP Entreprise,No Money Productions,Arte France Cinéma,See more »,",,
93,Denial,(IV) (2016), Documentary            ,7.5,22,,"Mike Ahmadi,Christine David Hallquist,Derek Hallquist,|,See full cast & crew,",USA,"Mosaic Films,Charlotte Street Films,Green River Pictures,See more »,","$790,000",
94,Kerron sinulle kaiken,(2013)," Drama, Romance            ",6.8,614,Simo Halinen,"Leea Klemola,Peter Franzén,Ria Kataja,|,See full cast & crew,","Finland,Sweden","Edith Film Oy,Future Film,SVT,See more »,","€810,000",
95,"Señorita María, la falda de la montaña",(2017), Documentary            ,7.6,170,Rubén Mendoza,"María Luisa Fuentes Burgos,María Luisa Bonilla,",Colombia,"Caracol Televisión,Dago García Producciones,DíaFragma, Fábrica de Películas,See more »,",,
96,Trans,(2012)," Documentary, Drama, Family            ",5.7,92,Chris Arnold,"Masen Davis,Christine McGinn,",USA,"RoseWorks,Sex Smart Films,See more »,",,
97,Growing Up Coy,(2016), Documentary            ,5.4,263,Eric Juhola,"Auri Mathis,Coy Mathis,Dakota Mathis,|,See full cast & crew,",USA,"Outcast Films,Still Point Pictures,See more »,",,
98,Little Bi Peep,(2013)," Comedy, Drama, Romance            ",7.5,34,,"Anna Shields,Sara Jecko,Leigh Strimbeck,|,See full cast & crew,",USA,"Extra / Ordinary Film Project,See more »,","$150,000",
99,Forever Fever,(1998)," Comedy, Drama, Music            ",7.0,548,Glen Goei,"Adrian Pang,Medaline Tan,Pierre Png,|,See full cast & crew,",Singapore,"Chinarunn Entertainment Inc.,TigerTiger Productions,See more »,","$880,000","$19,319,"
100,Morrer Como Um Homem,(2009)," Drama, Music            ",5.9,881,João Pedro Rodrigues,"Chandra Malatitch,John Jesus Romão,Ivo Barroso,|,See full cast & crew,","Portugal,France","Rosa Filmes,Ad Vitam Production,See more »,","€240,000","$3,939,"
101,101 Rent Boys,(2000), Documentary            ,6.3,323,,"David Anthony,Gary Barry,Scott Black,|,See full cast & crew,",USA,"Cinemax,World of Wonder Productions,World of Wonder,See more »,",,
102,Mishpakha BiTrans,(2018), Documentary            ,5.3,6,Ofir Trainin,"Amit Tsuk,Galit Tsuk,",Israel,"Yes Docu,See more »,",,
103,The Coffee Shop,(2014)," Comedy, Romance            ",3.8,68,A.J. Mattioli,"Blanche Baker,Elissa Goldstein,Keith Collins,|,See full cast & crew,",USA,"Mattioli Productions,See more »,","$100,000",
104,Cheun,(2009)," Action, Crime, Drama            ",6.9,604,Kongkiat Khomsiri,"Arak Amornsupasiri,Sonthaya Chitmanee,Jessica Pasaphan,|,See full cast & crew,",Thailand,"Five Stars Production Company,See more »,",,
105,Leave It on the Floor,(2011)," Comedy, Drama, Musical            ",6.2,367,Sheldon Larry,"Ephraim Sykes,Andre Myers,Phillip Evelyn,|,See full cast & crew,","Canada,USA","Leave It on the Floor,Sheldon Larry Productions Inc.,See more »,",,
106,Satree lek,(2000)," Comedy, Drama, Sport            ",6.8,"1,236",Yongyoot Thongkongtoon,"Jesdaporn Pholdee,Sahaphap Tor,Ekachai Buranapanit,|,See full cast & crew,",Thailand,"Tai Entertainment,See more »,",,"$110,825,"
107,Myra,(2018)," Comedy, Crime, Drama            ",0.0,0,Christopher Baiza,"Tom Sizemore,Scott Krinsky,Cesar Garcia,|,See full cast & crew,",USA,"Cine Calibre Films,See more »,","$30,000",
108,The Elephant King,(2006)," Drama, Romance            ",6.3,464,Seth Grossman,"Ellen Burstyn,Tate Ellington,Florence Faivre,|,See full cast & crew,","USA,Thailand","Unison Films,De Warrenne Pictures,See more »,","$1,500,000","$21,298,"
109,Hai-hil,(2014)," Action, Comedy            ",6.6,994,Jin Jang,"Seung-won Cha,Jeong-se Oh,Esom,|,See full cast & crew,",South Korea,,,
110,Gen Silent,(2011)," Documentary, Biography, History            ",8.2,52,Stu Maddux,,USA,,,
111,Two Spirits,(2009), Documentary            ,7.6,78,Lydia Nibley,,USA,"Say Yes Quickly Productions,Just Media,See more »,","$248,321",
112,Madame Satã,(2002)," Biography, Crime, Drama            ",7.1,"2,317",Karim Aïnouz,"Lázaro Ramos,Marcelia Cartaxo,Flavio Bauraqui,|,See full cast & crew,","Brazil,France","VideoFilmes,Dominant 7,Lumière,See more »,",,"$198,181,"
113,Boy,(I) (2009)," Drama, Romance            ",5.8,167,Auraeus Solito,"Aeious Asin,Aries Pena,Belinda,|,See full cast & crew,",Philippines,"Solito Arts,See more »,",,
114,Toot too ku chart,(2018), Comedy            ,0.0,0,Poj Arnon,"Rattapoom Tokongsup,Petchtai Wongkamlao,",Thailand,"Film Guru,See more »,",,
115,A Jihad for Love,(2007), Documentary            ,6.5,614,Parvez Sharma,"Muhsin Hendricks,A.K. Hoosen,Mazen,|,See full cast & crew,","UK,France,Germany,Australia,USA","Channel Four Films,Halal Films,Logo,See more »,",,"$105,033,"
116,El Calentito,(2005)," Comedy, Music            ",5.9,496,Chus Gutiérrez,"Verónica Sánchez,Macarena Gómez,Juan Sanz,|,See full cast & crew,",Spain,"Telespan 2000,Estudios Picasso,Canal+ España,See more »,",,
117,Girls Like Us! Part 1,(2012)," Comedy, Drama, Romance            ",5.8,10,,"Bethany Stanton,Robin Lei,Milon V. Parker,|,See full cast & crew,",USA,"Chill Productions,See more »,","$40,000",
