,name,year,genre,rate,voter,director,star,country,company,budget,gross
11,Pitch Perfect,(2012)," Comedy, Music, Romance            ",7.2,"247,737",Jason Moore,"Anna Kendrick,Brittany Snow,Rebel Wilson,|,See full cast & crew,",USA,"Brownstone Productions (II),Gold Circle Films,See more »,","$17,000,000","$65,001,093"
12,Scott Pilgrim vs. the World,(2010)," Action, Comedy, Fantasy            ",7.5,"326,503",Edgar Wright,"Michael Cera,Mary Elizabeth Winstead,Kieran Culkin,|,See full cast & crew,","USA,UK,Canada,Japan","Universal Pictures,Marc Platt Productions,Big Talk Productions,See more »,","$60,000,000","$31,494,270,"
13,The Haunting,(1999)," Fantasy, Horror, Mystery            ",4.9,"65,396",Jan de Bont,"Liam Neeson,Catherine Zeta-Jones,Owen Wilson,|,See full cast & crew,",USA,"DreamWorks,Roth-Arnold Productions,See more »,","$80,000,000","$91,411,151"
14,Disobedience,(2017)," Drama, Romance            ",6.6,"13,195",Sebastián Lelio,"Rachel Weisz,Rachel McAdams,Alessandro Nivola,|,See full cast & crew,","UK,Ireland,USA","Braven Films,Element Pictures,Film 4,See more »,","$6,000,000","$3,480,702"
15,Atomic Blonde,(2017)," Action, Mystery, Thriller            ",6.7,"138,298",David Leitch,"Charlize Theron,James McAvoy,John Goodman,|,See full cast & crew,","Germany,Sweden,USA","87Eleven,Closed on Mondays Entertainment,Denver and Delilah Productions,See more »,","$30,000,000","$51,573,925,"
16,American Psycho,(2000)," Crime, Drama            ",7.6,"416,704",Mary Harron,"Christian Bale,Justin Theroux,Josh Lucas,|,See full cast & crew,","USA,Canada","Am Psycho Productions,Edward R. Pressman Film,Lions Gate Films,See more »,","$7,000,000","$15,070,285,"
17,Blockers,(2018), Comedy            ,6.2,"43,710",Kay Cannon,"Leslie Mann,John Cena,Ike Barinholtz,|,See full cast & crew,",USA,"Point Grey Pictures,DMG Entertainment,Good Universe,See more »,","$21,000,000","$59,839,515"
18,Mulholland Dr.,(2001)," Drama, Mystery, Thriller            ",8.0,"282,170",David Lynch,"Naomi Watts,Laura Harring,Justin Theroux,|,See full cast & crew,","France,USA","Les Films Alain Sarde,Asymmetrical Productions,Babbo Inc.,See more »,","$15,000,000","$7,220,243"
19,Tully,(2018)," Comedy, Drama, Mystery            ",7.0,"28,447",Jason Reitman,"Charlize Theron,Mackenzie Davis,Ron Livingston,|,See full cast & crew,",USA,"BRON Studios,Right Way Productions,Denver and Delilah Productions,See more »,",,"$9,227,130,"
20,Ghost in the Shell,(2017)," Action, Drama, Sci-Fi            ",6.4,"163,812",Rupert Sanders,"Scarlett Johansson,Pilou Asbæk,Takeshi Kitano,|,See full cast & crew,","USA,India,Hong Kong,China","Paramount Pictures,DreamWorks,Reliance Entertainment,See more »,","$110,000,000","$40,533,014,"
21,La vie d'Adèle,(2013)," Drama, Romance            ",7.8,"119,120",Abdellatif Kechiche,"Léa Seydoux,Adèle Exarchopoulos,Salim Kechiouche,|,See full cast & crew,","France,Belgium,Spain","Quat'sous Films,Wild Bunch,France 2 Cinéma,See more »,","€4,000,000","$2,199,675,"
22,Allied,(2016)," Action, Drama, Romance            ",7.1,"117,588",Robert Zemeckis,"Brad Pitt,Marion Cotillard,Jared Harris,|,See full cast & crew,","UK,USA","Paramount Pictures,Huahua Media,GK Films,See more »,","$85,000,000","$40,069,087,"
23,The Intouchables,(2011)," Biography, Comedy, Drama            ",8.5,"642,566",,"François Cluzet,Omar Sy,Anne Le Ny,|,See full cast & crew,",France,"Quad Productions,Ten Films,Canal+,See more »,","€9,500,000","$13,182,281"
24,Sausage Party,(2016)," Animation, Adventure, Comedy            ",6.2,"152,348",,"Seth Rogen,Kristen Wiig,Jonah Hill,|,See full cast & crew,",USA,"Annapurna Pictures,Columbia Pictures Corporation,Point Grey Pictures,See more »,","$19,000,000","$97,661,826,"
25,Power Rangers,(2017)," Action, Adventure, Sci-Fi            ",6.0,"86,871",Dean Israelite,"Dacre Montgomery,Naomi Scott,RJ Cyler,|,See full cast & crew,","USA,Hong Kong,Japan,Mexico,Canada,New Zealand","Lionsgate,Saban Films,TIK Films,See more »,","$100,000,000","$85,067,486,"
26,Not Another Teen Movie,(2001), Comedy            ,5.7,"88,490",Joel Gallen,"Chyler Leigh,Jaime Pressly,Chris Evans,|,See full cast & crew,",USA,"Columbia Pictures Corporation,Original Film,Neal H. Moritz Productions,See more »,","$15,000,000","$38,252,284"
27,Below Her Mouth,(2016)," Drama, Romance            ",5.5,"6,449",April Mullen,"Erika Linder,Natalie Krill,Sebastian Pigott,|,See full cast & crew,",Canada,"Serendipity Point Films,Distant Horizon,Telefilm Canada,See more »,",,
28,The Neon Demon,(2016)," Horror, Thriller            ",6.2,"68,254",Nicolas Winding Refn,"Elle Fanning,Christina Hendricks,Keanu Reeves,|,See full cast & crew,","Denmark,France,USA,UK","Space Rocket Nation,Vendian Entertainment,Bold Films,See more »,","$7,000,000","$1,333,124,"
29,Cruel Intentions,(1999)," Drama, Romance            ",6.8,"164,613",Roger Kumble,"Sarah Michelle Gellar,Ryan Phillippe,Reese Witherspoon,|,See full cast & crew,",USA,"Columbia Pictures Corporation,Cruel Productions LLC,Newmarket Capital Group,See more »,","$10,500,000","$38,328,567"
30,Flickan som lekte med elden,(2009)," Crime, Drama, Mystery            ",7.2,"82,796",Daniel Alfredson,"Noomi Rapace,Michael Nyqvist,Lena Endre,|,See full cast & crew,","Sweden,Denmark,Germany","Yellow Bird,ZDF Enterprises,Sveriges Television (SVT),See more »,","€4,000,000","$9,081,782"
31,Monster,(2003)," Biography, Crime, Drama            ",7.3,"121,234",Patty Jenkins,"Charlize Theron,Christina Ricci,Bruce Dern,|,See full cast & crew,","Germany,USA","Media 8 Entertainment,Newmarket Films,DEJ Productions,See more »,","$4,500,000","$34,469,210"
32,Training Day,(2001)," Crime, Drama, Thriller            ",7.7,"346,894",Antoine Fuqua,"Denzel Washington,Ethan Hawke,Scott Glenn,|,See full cast & crew,","USA,Australia","Warner Bros.,Village Roadshow Pictures,NPV Entertainment,See more »,","$45,000,000","$76,631,907"
33,The Dictator,(2012), Comedy            ,6.4,"243,785",Larry Charles,"Sacha Baron Cohen,Anna Faris,John C. Reilly,|,See full cast & crew,",USA,"Paramount Pictures,Four by Two Films,See more »,","$65,000,000","$59,650,222"
34,Rough Night,(2017)," Comedy, Crime, Thriller            ",5.2,"35,816",Lucia Aniello,"Scarlett Johansson,Kate McKinnon,Zoë Kravitz,|,See full cast & crew,",USA,"Paulilu Productions,Sony Pictures Entertainment (SPE),See more »,","$20,000,000","$22,062,200,"
35,Carol,(2015)," Drama, Romance            ",7.2,"94,837",Todd Haynes,"Cate Blanchett,Rooney Mara,Sarah Paulson,|,See full cast & crew,","UK,USA","The Weinstein Company,Film4,Number 9 Films,See more »,","$11,800,000","$12,711,491,"
36,The World's End,(2013)," Action, Comedy, Sci-Fi            ",7.0,"224,652",Edgar Wright,"Simon Pegg,Nick Frost,Martin Freeman,|,See full cast & crew,","UK,USA,Japan","Universal Pictures,Focus Features,Relativity Media,See more »,","$20,000,000","$26,004,851"
37,(500) Days of Summer,(2009)," Comedy, Drama, Romance            ",7.7,"429,855",Marc Webb,"Zooey Deschanel,Joseph Gordon-Levitt,Geoffrey Arend,|,See full cast & crew,",USA,"Fox Searchlight Pictures,Watermark,Dune Entertainment III,See more »,","$7,500,000","$32,391,374,"
38,Adoration,(2013)," Drama, Romance            ",6.2,"28,805",Anne Fontaine,"Naomi Watts,Robin Wright,Xavier Samuel,|,See full cast & crew,","Australia,France","Gaumont,Screen Australia,Ciné@,See more »,","$16,000,000","$317,125,"
39,Elizabeth,(1998)," Biography, Drama, History            ",7.5,"83,701",Shekhar Kapur,"Cate Blanchett,Geoffrey Rush,Christopher Eccleston,|,See full cast & crew,",UK,"PolyGram Filmed Entertainment,Working Title Films,Channel Four Films,See more »,","$30,000,000","$30,082,699"
40,Wild Things,(1998)," Crime, Drama, Mystery            ",6.5,"99,218",John McNaughton,"Kevin Bacon,Neve Campbell,Matt Dillon,|,See full cast & crew,",USA,"Mandalay Entertainment,See more »,","$20,000,000","$29,753,944,"
41,Year One,(2009)," Adventure, Comedy            ",4.9,"83,910",Harold Ramis,"Jack Black,Michael Cera,Olivia Wilde,|,See full cast & crew,",USA,"Columbia Pictures Corporation,Ocean Pictures,Apatow Productions,See more »,","$60,000,000","$43,337,279,"
42,Waiting...,(I) (2005), Comedy            ,6.8,"82,122",Rob McKittrick,"Ryan Reynolds,Anna Faris,John Francis Daley,|,See full cast & crew,",USA,"Eden Rock Media,Element Films,L.I.F.T. Production,See more »,","$3,000,000","$16,124,543"
43,Professor Marston and the Wonder Women,(2017)," Biography, Drama            ",7.1,"15,333",Angela Robinson,"Luke Evans,Rebecca Hall,Bella Heathcote,|,See full cast & crew,",USA,"Opposite Field Pictures,Boxspring Entertainment,Stage 6 Films,See more »,",,"$1,584,759,"
44,Enter the Void,(2009)," Drama, Fantasy            ",7.3,"57,511",Gaspar Noé,"Nathaniel Brown,Paz de la Huerta,Cyril Roy,|,See full cast & crew,","France,Germany,Italy,Canada","Fidélité Films,Wild Bunch,BUF,See more »,","€13,000,000","$336,467,"
45,Up in the Air,(I) (2009)," Drama, Romance            ",7.4,"295,450",Jason Reitman,"George Clooney,Vera Farmiga,Anna Kendrick,|,See full cast & crew,",USA,"Paramount Pictures,Cold Spring Pictures,DreamWorks,See more »,","$25,000,000","$83,823,381"
46,Being John Malkovich,(1999)," Comedy, Drama, Fantasy            ",7.8,"282,708",Spike Jonze,"John Cusack,Cameron Diaz,Catherine Keener,|,See full cast & crew,",USA,"Astralwerks,Gramercy Pictures (I),Propaganda Films,See more »,","$13,000,000","$22,858,926,"
47,Vicky Cristina Barcelona,(2008)," Drama, Romance            ",7.1,"222,792",Woody Allen,"Rebecca Hall,Scarlett Johansson,Javier Bardem,|,See full cast & crew,","Spain,USA","The Weinstein Company,Mediapro,Gravier Productions,See more »,","$15,500,000","$23,216,709"
48,La pianiste,(2001)," Drama, Music            ",7.5,"47,595",Michael Haneke,"Isabelle Huppert,Annie Girardot,Benoît Magimel,|,See full cast & crew,","Austria,France,Germany","Arte France Cinéma,Arte,Bavaria Film International,See more »,","ATS 70,000,000","$1,900,282,"
49,Mike and Dave Need Wedding Dates,(2016)," Adventure, Comedy, Romance            ",6.0,"71,182",Jake Szymanski,"Zac Efron,Adam Devine,Anna Kendrick,|,See full cast & crew,",USA,"Twentieth Century Fox,Chernin Entertainment,TSG Entertainment,See more »,","$33,000,000","$46,007,113,"
50,Lizzie,(2018)," Biography, Crime, Drama            ",5.8,812,Craig William Macneill,"Kristen Stewart,Chloë Sevigny,Kim Dickens,|,See full cast & crew,",USA,"Powder Hound Pictures,Artina Films,Destro Films,See more »,",,"$642,157,"
51,Perfume: The Story of a Murderer,(2006)," Crime, Drama, Fantasy            ",7.5,"213,651",Tom Tykwer,"Ben Whishaw,Dustin Hoffman,Alan Rickman,|,See full cast & crew,","Germany,France,Spain,USA","Constantin Film,VIP 4 Medienfonds,Nouvelles Éditions de Films (NEF),See more »,","€50,000,000","$2,223,293"
52,Anger Management,(2003), Comedy            ,6.2,"187,717",Peter Segal,"Jack Nicholson,Adam Sandler,Marisa Tomei,|,See full cast & crew,",USA,"Revolution Studios,Happy Madison Productions,Anger Management LLC,See more »,","$75,000,000","$135,645,823"
53,Thelma,(II) (2017)," Drama, Fantasy, Horror            ",7.0,"17,915",Joachim Trier,"Eili Harboe,Kaya Wilkins,Henrik Rafaelsen,|,See full cast & crew,","Norway,France,Denmark,Sweden","Motlys,Eurimages,Film i Väst,See more »,","NOK 47,500,000","$147,391,"
54,Rent,(2005)," Drama, Musical, Romance            ",7.0,"45,452",Chris Columbus,"Taye Diggs,Wilson Jermaine Heredia,Rosario Dawson,|,See full cast & crew,",USA,"Rent Productions LLC,1492 Pictures,Revolution Studios,See more »,","$40,000,000","$29,077,547,"
55,Hostel: Part II,(2007), Horror            ,5.5,"78,653",Eli Roth,"Lauren German,Heather Matarazzo,Bijou Phillips,|,See full cast & crew,","USA,Czech Republic,Italy,Iceland,Slovakia","Lionsgate,Screen Gems,Next Entertainment,See more »,","$10,000,000","$17,609,452"
56,Wet Hot American Summer,(2001)," Comedy, Romance            ",6.7,"48,376",David Wain,"Janeane Garofalo,David Hyde Pierce,Michael Showalter,|,See full cast & crew,",USA,"Eureka Pictures,North Coast Group,See more »,","$5,000,000","$292,102,"
57,Miss Congeniality,(2000)," Action, Comedy, Crime            ",6.2,"162,277",Donald Petrie,"Sandra Bullock,Michael Caine,Benjamin Bratt,|,See full cast & crew,",USA,"Castle Rock Entertainment,Village Roadshow Pictures,NPV Entertainment,See more »,","$45,000,000","$106,807,667,"
58,Basic Instinct 2,(2006)," Drama, Mystery, Thriller            ",4.3,"34,366",Michael Caton-Jones,"Sharon Stone,David Morrissey,David Thewlis,|,See full cast & crew,","UK,Germany,Spain,USA","Metro-Goldwyn-Mayer (MGM),C-2 Pictures,Intermedia Films,See more »,","$70,000,000","$5,971,336"
59,Habitación en Roma,(2010)," Drama, Romance            ",6.2,"19,567",Julio Medem,"Elena Anaya,Natasha Yarovenko,Enrico Lo Verso,|,See full cast & crew,",Spain,"Morena Films,Alicia Produce,Canal+ España,See more »,",,
60,Thirteen,(2003), Drama            ,6.8,"74,590",Catherine Hardwicke,"Evan Rachel Wood,Holly Hunter,Nikki Reed,|,See full cast & crew,","USA,UK","Fox Searchlight Pictures,Michael London Productions,Working Title Films,See more »,","$1,500,000","$4,599,680,"
61,This Is Where I Leave You,(2014)," Comedy, Drama            ",6.6,"63,536",Shawn Levy,"Jason Bateman,Tina Fey,Jane Fonda,|,See full cast & crew,",USA,"21 Laps Entertainment,Spring Creek Productions,Warner Bros.,See more »,","$19,800,000","$34,290,142,"
62,Smokin' Aces,(2006)," Action, Crime, Drama            ",6.7,"129,778",Joe Carnahan,"Jeremy Piven,Ryan Reynolds,Ray Liotta,|,See full cast & crew,","UK,France,USA","Universal Pictures,StudioCanal,Relativity Media,See more »,","$17,000,000","$35,662,731,"
63,Song to Song,(I) (2017)," Drama, Music, Romance            ",5.7,"14,341",Terrence Malick,"Ryan Gosling,Rooney Mara,Michael Fassbender,|,See full cast & crew,",USA,"Buckeye Pictures,FilmNation Entertainment,Waypoint Entertainment,See more »,",,"$443,684,"
64,Under the Tuscan Sun,(2003)," Comedy, Drama, Romance            ",6.8,"42,033",Audrey Wells,"Diane Lane,Raoul Bova,Sandra Oh,|,See full cast & crew,","USA,Italy","Touchstone Pictures,Timnick Films,Blue Gardenia Productions,See more »,","$18,000,000","$43,610,723,"
65,End of Watch,(2012)," Action, Crime, Drama            ",7.6,"206,602",David Ayer,"Jake Gyllenhaal,Michael Peña,Anna Kendrick,|,See full cast & crew,",USA,"Exclusive Media Group,Emmett/Furla/Oasis Films (EFO Films),Hedge Fund Film Partners,See more »,","$7,000,000","$41,003,371"
66,"Me, Myself & Irene",(2000), Comedy            ,6.6,"205,346",,"Jim Carrey,Renée Zellweger,Anthony Anderson,|,See full cast & crew,",USA,"Twentieth Century Fox,Conundrum Entertainment,See more »,","$51,000,000","$90,570,999"
67,Kiss Kiss Bang Bang,(2005)," Action, Comedy, Crime            ",7.6,"198,349",Shane Black,"Robert Downey Jr.,Val Kilmer,Michelle Monaghan,|,See full cast & crew,",USA,"Warner Bros.,Silver Pictures,See more »,","$15,000,000","$4,243,756,"
68,The Late Bloomer,(2016)," Comedy, Drama, Romance            ",5.2,"5,486",Kevin Pollak,"Charlotte McKinney,Johnny Simmons,Blake Cooper,|,See full cast & crew,",USA,"Eclectic Pictures,Ineffable Pictures,See more »,","$3,500,000",
69,Election,(1999)," Comedy, Drama, Romance            ",7.3,"81,554",Alexander Payne,"Matthew Broderick,Reese Witherspoon,Chris Klein,|,See full cast & crew,",USA,"Bona Fide Productions,MTV Films,Paramount Pictures,See more »,","$25,000,000","$14,879,556,"
70,The Hours,(2002)," Drama, Romance            ",7.6,"114,047",Stephen Daldry,"Meryl Streep,Nicole Kidman,Julianne Moore,|,See full cast & crew,","USA,UK","Paramount Pictures,Miramax,Scott Rudin Productions,See more »,","$25,000,000","$41,675,994,"
71,Side Effects,(I) (2013)," Crime, Drama, Mystery            ",7.1,"165,157",Steven Soderbergh,"Rooney Mara,Channing Tatum,Jude Law,|,See full cast & crew,",USA,"Endgame Entertainment,FilmNation Entertainment,Di Bonaventura Pictures,See more »,","$30,000,000","$32,172,757"
72,Grindhouse,(2007)," Action, Horror, Thriller            ",7.6,"167,169",,"Kurt Russell,Rose McGowan,Danny Trejo,|,See full cast & crew,",USA,"Dimension Films,Big Talk Productions,Dartmouth International,See more »,","$53,000,000","$25,031,037,"
73,Whitney,(2018)," Documentary, Biography, Music            ",7.2,"2,476",Kevin Macdonald,"Kevin Costner,Whitney Houston,Aretha Franklin,|,See full cast & crew,","UK,USA","Lisa Erspamer Entertainment,Lightbox,Altitude Film Entertainment,See more »,",,"$3,026,351,"
74,Lez Bomb,(2018)," Comedy, Drama            ",4.4,199,Jenna Laurenzo,"Elaine Hendrix,Cloris Leachman,Kevin Pollak,|,See full cast & crew,",USA,"Sprockefeller Pictures,Aspire Talent Management,Dungeon Beach,See more »,",,
75,Frida,(2002)," Biography, Drama, Romance            ",7.4,"72,399",Julie Taymor,"Salma Hayek,Alfred Molina,Geoffrey Rush,|,See full cast & crew,","USA,Canada,Mexico","Handprint Entertainment,Lions Gate Films,Miramax,See more »,","$12,000,000","$25,885,000"
76,If I Stay,(2014)," Drama, Fantasy, Music            ",6.8,"103,636",R.J. Cutler,"Chloë Grace Moretz,Mireille Enos,Jamie Blackley,|,See full cast & crew,",USA,"DiNovi Pictures,Metro-Goldwyn-Mayer (MGM),New Line Cinema,See more »,","$11,000,000","$50,474,843"
77,American Pie 2,(2001), Comedy            ,6.4,"220,407",J.B. Rogers,"Jason Biggs,Seann William Scott,Shannon Elizabeth,|,See full cast & crew,",USA,"LivePlanet,Universal Pictures,Zide-Perry Productions,See more »,","$30,000,000","$145,103,595,"
78,Planet Terror,(2007)," Action, Comedy, Horror            ",7.1,"184,539",Robert Rodriguez,"Rose McGowan,Freddy Rodríguez,Josh Brolin,|,See full cast & crew,",USA,"Dimension Films,Troublemaker Studios,Rodriguez International Pictures,See more »,",,
79,Saved!,(2004)," Comedy, Drama            ",6.8,"42,565",Brian Dannelly,"Jena Malone,Mandy Moore,Macaulay Culkin,|,See full cast & crew,","USA,Canada","United Artists,Single Cell Pictures,Infinity Media,See more »,","$5,000,000","$8,940,582,"
80,Milk,(I) (2008)," Biography, Drama            ",7.6,"152,495",Gus Van Sant,"Sean Penn,Josh Brolin,Emile Hirsch,|,See full cast & crew,",USA,"Focus Features,Axon Films,Groundswell Productions,See more »,","$20,000,000","$31,841,299"
81,From Hell,(2001)," Horror, Mystery, Thriller            ",6.8,"136,937",,"Johnny Depp,Heather Graham,Ian Holm,|,See full cast & crew,",USA,"Twentieth Century Fox,Underworld Entertainment,See more »,","$35,000,000","$31,602,566"
82,Passion,(2012)," Drama, Mystery, Thriller            ",5.3,"19,544",Brian De Palma,"Rachel McAdams,Noomi Rapace,Karoline Herfurth,|,See full cast & crew,","France,Germany","SBS Productions,Integral Film,France 2 Cinéma,See more »,","$20,000,000","$91,186,"
83,Dope,(2015)," Comedy, Crime, Drama            ",7.2,"74,741",Rick Famuyiwa,"Shameik Moore,Tony Revolori,Kiersey Clemons,|,See full cast & crew,",USA,"Forest Whitaker's Significant Productions,Revolt Films,That's Dope,See more »,","$7,000,000","$17,474,107,"
84,Precious,(II) (2009), Drama            ,7.3,"98,130",Lee Daniels,"Gabourey Sidibe,Mo'Nique,Paula Patton,|,See full cast & crew,",USA,"Lionsgate,Lee Daniels Entertainment,Smokewood Entertainment Group,See more »,","$10,000,000","$47,395,661,"
85,The Party,(I) (2017)," Comedy, Drama            ",6.6,"12,126",Sally Potter,"Timothy Spall,Kristin Scott Thomas,Patricia Clarkson,|,See full cast & crew,",UK,"Adventure Pictures,Oxwich Media,See more »,",,"$749,827"
86,Jay and Silent Bob Strike Back,(2001), Comedy            ,6.9,"138,543",Kevin Smith,"Jason Mewes,Kevin Smith,Ben Affleck,|,See full cast & crew,",USA,"Dimension Films,View Askew Productions,Miramax,See more »,","$22,000,000","$30,059,386,"
87,Bully,(2001)," Biography, Crime, Drama            ",7.0,"31,851",Larry Clark,"Brad Renfro,Nick Stahl,Bijou Phillips,|,See full cast & crew,","USA,France,UK","StudioCanal,Lions Gate Films,Muse Productions,See more »,",,"$1,537,670,"
88,Bend It Like Beckham,(2002)," Comedy, Drama, Romance            ",6.7,"97,667",Gurinder Chadha,"Parminder Nagra,Keira Knightley,Jonathan Rhys Meyers,|,See full cast & crew,","UK,Germany,USA","Kintop Pictures,Film Council,Filmförderung Hamburg,See more »,","£3,500,159","$32,543,449,"
89,Io sono l'amore,(2009)," Drama, Romance            ",7.1,"17,672",Luca Guadagnino,"Tilda Swinton,Flavio Parenti,Edoardo Gabbriellini,|,See full cast & crew,",Italy,"First Sun,Mikado Film,Rai Cinema,See more »,","€3,600,000","$5,005,465"
90,Lucía y el sexo,(2001)," Drama, Romance            ",7.2,"32,479",Julio Medem,"Paz Vega,Tristán Ulloa,Najwa Nimri,|,See full cast & crew,","Spain,France","Alicia Produce,Canal+ España,Sogecine,See more »,",,"$1,490,177,"
91,Fruitvale Station,(2013)," Biography, Drama, Romance            ",7.5,"66,149",Ryan Coogler,"Michael B. Jordan,Melonie Diaz,Octavia Spencer,|,See full cast & crew,",USA,"Forest Whitaker's Significant Productions,OG Project,See more »,","$900,000","$16,097,842,"
92,The Boat That Rocked,(2009)," Comedy, Drama, Music            ",7.4,"99,697",Richard Curtis,"Philip Seymour Hoffman,Bill Nighy,Nick Frost,|,See full cast & crew,","UK,Germany,France","Universal Pictures,StudioCanal,Working Title Films,See more »,","$50,000,000","$7,994,115,"
93,Across the Universe,(2007)," Drama, Fantasy, Musical            ",7.4,"99,906",Julie Taymor,"Evan Rachel Wood,Jim Sturgess,Joe Anderson,|,See full cast & crew,","USA,UK","Revolution Studios,Gross Entertainment,Team Todd,See more »,","$45,000,000","$24,343,673,"
94,The Runaways,(2010)," Biography, Drama, Music            ",6.6,"43,103",Floria Sigismondi,"Kristen Stewart,Dakota Fanning,Michael Shannon,|,See full cast & crew,",USA,"River Road Entertainment,Linson Entertainment,Blackheart Films,See more »,","$10,000,000","$3,571,735,"
95,Femme Fatale,(2002)," Crime, Drama, Mystery            ",6.3,"31,131",Brian De Palma,"Rebecca Romijn,Antonio Banderas,Peter Coyote,|,See full cast & crew,","France,Switzerland","Quinta Communications,Epsilon Motion Pictures,See more »,","$35,000,000","$6,592,103,"
96,Sunshine Cleaning,(2008)," Comedy, Drama            ",6.9,"65,848",Christine Jeffs,"Amy Adams,Emily Blunt,Alan Arkin,|,See full cast & crew,",USA,"Overture Films,Big Beach Films,Back Lot Pictures,See more »,","$8,000,000","$12,062,558,"
97,Rock Star,(2001)," Drama, Music            ",6.2,"38,013",Stephen Herek,"Mark Wahlberg,Jennifer Aniston,Dominic West,|,See full cast & crew,",USA,"Warner Bros.,Bel Air Entertainment,Maysville Pictures,See more »,","$57,000,000","$17,008,282"
98,Circle,(II) (2015)," Drama, Mystery, Sci-Fi            ",6.0,"27,380",,"Allegra Masters,Aimee McKay,Ashley Key,|,See full cast & crew,",USA,"Felt Films,Taggart Productions,Votiv Films,See more »,",,
99,The Taking,(2014)," Horror, Mystery, Thriller            ",6.0,"20,887",Adam Robitel,"Jill Larson,Anne Ramsay,Michelle Ang,|,See full cast & crew,",USA,"Bad Hat Harry Productions,Jeff Rice Films,Casadelic Pictures,See more »,","$1,500,000",
100,Boys Don't Cry,(1999)," Biography, Crime, Drama            ",7.6,"85,423",Kimberly Peirce,"Hilary Swank,Chloë Sevigny,Peter Sarsgaard,|,See full cast & crew,",USA,"Fox Searchlight Pictures,The Independent Film Channel Productions,Killer Films,See more »,","$2,000,000","$11,533,945,"
101,Shortbus,(2006)," Drama, Romance            ",6.5,"29,959",John Cameron Mitchell,"Sook-Yin Lee,Peter Stickles,PJ DeBoy,|,See full cast & crew,",USA,"THINKFilm,Fortissimo Films,Q Television,See more »,","$2,000,000","$1,985,292,"
102,Girlhouse,(2014)," Horror, Thriller            ",5.5,"6,904",,"Ali Cobrin,Adam DiMarco,Slaine,|,See full cast & crew,",Canada,"Brookstreet Pictures,See more »,","$3,150,000",
103,The Woman,(I) (2011), Horror            ,6.0,"19,449",Lucky McKee,"Pollyanna McIntosh,Brandon Gerald Fuller,Lauren Ashley Carter,|,See full cast & crew,",USA,"Modernciné,See more »,",,
